,date,Arts & Entertainment,Autos & Vehicles,Beauty & Fitness,Books & Literature,Business & Industrial,Computers & Electronics,Finance,Food & Drink,Games,Health,Hobbies & Leisure,Home & Garden,Internet & Telecom,Jobs & Education,Law & Government,News,Online Communities,People & Society,Pets & Animals,Real Estate,Reference,Science,Shopping,Sports,Travel
0,2004-01-01,7,5,7,19,18,29,6,7,4,9,13,10,18,4,9,8,2,10,10,6,9,28,13,3,13
1,2004-02-01,7,8,7,18,18,34,4,7,4,9,14,9,19,4,11,7,2,9,7,6,8,39,13,3,14
2,2004-03-01,8,7,8,27,26,39,6,7,4,12,11,13,20,7,14,10,3,13,7,4,10,41,15,3,18
3,2004-04-01,8,9,10,29,20,34,5,8,5,13,12,9,19,5,12,9,3,13,12,5,11,37,14,3,16
4,2004-05-01,8,7,9,26,20,36,5,8,4,10,12,12,19,6,21,10,3,12,5,8,12,37,17,3,13
5,2004-06-01,8,8,9,23,21,34,4,9,5,10,11,11,22,12,18,11,3,11,10,3,8,31,13,4,15
6,2004-07-01,11,8,10,21,21,40,6,8,6,11,14,12,24,39,17,21,5,14,11,3,10,31,17,4,14
7,2004-08-01,11,9,10,25,18,43,7,8,6,9,11,10,23,14,12,15,5,13,8,4,10,29,18,5,19
8,2004-09-01,10,11,10,20,20,41,5,8,5,10,13,11,23,10,14,14,5,14,12,6,11,37,16,4,14
9,2004-10-01,10,9,10,29,21,39,6,9,5,12,18,11,19,6,16,11,4,14,14,3,13,36,16,4,14
10,2004-11-01,10,8,11,29,22,40,5,9,6,12,15,10,26,5,17,14,4,16,8,5,13,40,17,4,14
11,2004-12-01,12,10,11,29,26,47,7,12,5,15,20,14,26,6,18,15,5,18,11,6,14,47,22,5,18
12,2005-01-01,12,10,11,22,18,39,5,8,6,10,14,13,22,7,14,14,4,13,7,4,10,31,17,5,14
13,2005-02-01,12,10,13,25,23,45,6,13,6,12,17,10,26,8,14,14,5,16,10,4,12,38,19,6,14
14,2005-03-01,13,11,13,27,28,47,6,11,7,16,15,17,30,11,14,17,5,18,14,7,15,51,18,5,20
15,2005-04-01,14,11,13,28,25,47,5,9,6,13,15,19,28,7,14,16,5,18,15,8,14,44,17,6,20
16,2005-05-01,13,10,12,27,25,44,5,8,6,11,15,16,25,6,15,18,5,18,12,9,12,37,18,6,17
17,2005-06-01,14,12,16,27,21,45,6,10,8,13,14,13,29,21,16,22,6,16,10,8,13,35,19,6,19
18,2005-07-01,17,13,17,28,25,50,8,9,8,14,17,15,34,55,24,32,8,20,11,9,14,36,21,7,21
19,2005-08-01,16,14,16,24,22,50,6,8,9,13,14,14,33,17,17,23,8,19,13,8,14,28,22,7,22
20,2005-09-01,14,11,13,30,23,45,7,9,7,12,16,16,31,14,18,22,7,17,14,6,16,36,20,7,18
21,2005-10-01,13,12,12,32,23,46,7,12,7,12,16,12,30,7,18,19,6,21,12,6,16,40,16,8,18
22,2005-11-01,15,13,14,32,26,45,6,9,8,14,16,14,33,7,18,25,6,23,15,9,17,40,21,8,19
23,2005-12-01,19,14,17,39,32,52,9,10,9,16,21,16,35,8,19,26,7,22,10,6,18,51,22,9,21
24,2006-01-01,17,11,12,28,22,44,7,9,10,12,16,14,33,9,15,22,7,20,11,8,14,32,20,8,15
25,2006-02-01,18,11,15,30,27,50,7,9,8,17,15,14,32,11,18,25,7,22,13,9,16,35,19,9,15
26,2006-03-01,18,14,16,35,32,53,9,10,8,19,17,15,36,14,20,24,8,24,14,8,16,49,21,7,21
27,2006-04-01,21,14,19,38,30,55,9,13,11,17,18,22,38,10,21,29,8,26,11,10,17,47,22,9,23
28,2006-05-01,19,15,19,40,30,51,10,12,10,16,16,18,36,9,19,27,8,25,13,12,16,41,22,10,20
29,2006-06-01,22,13,18,32,27,54,9,11,13,14,17,15,40,31,24,31,9,24,14,11,14,35,21,13,19
30,2006-07-01,26,16,20,30,30,60,10,12,15,16,17,18,45,67,29,40,11,28,14,8,17,33,24,12,22
31,2006-08-01,28,17,21,35,28,61,9,12,17,16,17,17,45,27,24,37,12,29,14,10,18,32,24,12,23
32,2006-09-01,25,15,18,37,28,56,9,15,15,15,21,16,46,18,22,32,11,31,18,9,18,36,21,12,21
33,2006-10-01,23,14,18,34,27,58,9,14,15,15,22,14,49,10,22,28,10,29,18,10,19,41,23,11,22
34,2006-11-01,25,15,21,46,32,60,13,14,12,19,19,20,47,10,23,32,11,32,18,14,21,50,24,14,24
35,2006-12-01,31,16,20,46,34,70,11,14,14,20,29,20,50,11,24,35,11,35,16,10,23,47,29,18,24
